id,car_number,round_id,team_driver_id
1,2,1,1
2,3,1,2
3,4,1,3
4,14,1,4
5,15,1,5
6,12,1,6
7,11,1,7
8,16,1,8
9,6,1,9
10,10,1,10
11,10,1,11
12,18,1,12
13,1,1,13
14,23,1,14
15,21,1,15
16,5,1,16
17,24,1,17
18,20,1,18
19,19,1,19
20,17,1,20
21,9,1,21
22,9,1,22
23,8,1,23
24,34,2,13
25,40,2,24
26,48,2,19
27,42,2,25
28,50,2,15
29,26,2,6
30,6,2,12
31,38,2,26
32,14,2,8
33,2,2,27
34,32,2,1
35,36,2,2
36,16,2,5
37,10,2,28
38,52,2,18
39,12,2,29
40,24,2,7
41,44,2,30
42,8,2,31
43,28,2,32
44,4,2,33
45,1,3,34
46,3,3,35
47,31,3,36
48,54,3,37
49,17,3,38
50,17,3,39
51,8,3,40
52,98,3,41
53,5,3,42
54,7,3,43
55,59,3,44
56,2,3,45
57,18,3,46
58,15,3,47
59,49,3,48
60,55,3,49
61,75,3,50
62,22,3,51
63,62,3,52
64,4,3,53
65,21,3,54
66,81,3,55
67,27,3,56
68,77,3,57
69,76,3,58
70,12,3,59
71,67,3,60
72,24,3,61
73,24,3,62
74,28,3,63
75,61,3,64
76,23,3,65
77,14,3,66
78,45,3,67
79,69,3,68
80,16,4,1
81,12,4,2
82,10,4,5
83,30,4,15
84,34,4,69
85,32,4,18
86,2,4,70
87,44,4,71
88,26,4,19
89,4,4,12
90,40,4,72
91,14,4,13
92,42,4,8
93,8,4,20
94,20,4,25
95,22,4,26
96,18,4,24
97,6,4,4
98,10,5,13
99,12,5,2
100,14,5,5
101,8,5,1
102,4,5,24
103,2,5,26
104,22,5,73
105,24,5,12
106,26,5,17
107,30,5,72
108,20,5,74
109,6,5,75
110,16,5,8
111,18,5,4
112,6,6,13
113,4,6,2
114,14,6,32
115,44,6,28
116,16,6,8
117,16,6,74
118,26,6,5
119,26,6,76
120,2,6,1
121,18,6,4
122,22,6,73
123,40,6,69
124,42,6,12
125,20,6,5
126,32,6,77
127,28,6,30
128,30,6,19
129,34,6,9
130,12,6,75
131,36,6,27
132,10,7,1
133,48,7,78
134,48,7,24
135,36,7,2
136,58,7,5
137,24,7,8
138,38,7,18
139,8,7,32
140,50,7,16
141,32,7,7
142,12,7,75
143,40,7,79
144,4,7,30
145,60,7,13
146,60,7,80
147,56,7,73
148,18,7,13
149,2,7,12
150,16,7,24
151,22,7,81
152,64,7,82
153,62,7,83
154,42,7,29
155,6,7,19
156,46,7,84
157,44,7,28
158,30,7,15
159,28,7,85
160,52,7,86
161,24,8,87
162,44,8,88
163,22,8,89
164,28,8,90
165,26,8,91
166,20,8,92
167,30,8,93
168,14,8,94
169,8,8,95
170,4,8,96
171,38,8,97
172,32,8,98
173,2,8,99
174,40,8,100
175,16,8,101
176,10,8,102
177,12,8,103
178,6,8,104
179,18,8,105
180,42,8,106
181,52,8,107
182,99,9,108
183,83,9,109
184,9,9,110
185,9,9,111
186,57,9,112
187,52,9,113
188,1,9,114
189,68,9,115
190,27,9,116
191,5,9,117
192,18,9,118
193,69,9,119
194,25,9,120
195,10,9,121
196,16,9,122
197,2,9,123
198,76,9,124
199,59,9,125
200,73,9,126
201,71,9,127
202,8,9,128
203,3,9,129
204,4,9,130
205,98,9,131
206,6,9,132
207,32,9,133
208,44,9,134
209,48,9,135
210,23,9,136
211,81,9,137
212,22,9,138
213,19,9,139
214,12,9,140
215,26,9,141
216,4,10,89
217,8,10,92
218,10,10,105
219,14,10,95
220,22,10,104
221,24,10,142
222,16,10,99
223,26,10,143
224,2,10,87
225,18,10,144
226,6,10,90
227,12,10,88
228,20,10,96
229,8,11,87
230,8,11,145
231,14,11,146
232,14,11,92
233,10,11,105
234,26,11,147
235,2,11,89
236,42,11,144
237,46,11,104
238,44,11,148
239,48,11,100
240,6,11,90
241,24,11,145
242,24,11,87
243,28,11,99
244,40,11,95
245,38,11,96
246,36,11,149
247,20,11,98
248,32,11,150
249,12,11,92
250,34,11,151
251,30,11,152
252,50,11,153
253,18,11,154
254,24,11,101
255,12,12,146
256,2,12,87
257,10,12,105
258,4,12,155
259,6,12,156
260,3,12,90
261,7,12,157
262,9,12,158
263,14,12,101
264,22,12,95
265,8,12,159
266,18,12,160
267,25,12,99
268,1,12,89
269,5,12,161
270,11,12,92
271,17,12,162
272,15,12,163
273,23,12,144
274,16,12,164
275,71,13,92
276,75,13,87
277,74,13,146
278,72,13,105
279,73,13,88
280,91,13,97
281,82,13,152
282,84,13,95
283,90,13,143
284,93,13,165
285,94,13,99
286,87,13,104
287,81,13,150
288,77,13,155
289,88,13,160
290,78,13,166
291,83,13,151
292,76,13,89
293,86,13,96
294,85,13,144
295,92,13,167
296,79,13,154
297,2,14,92
298,6,14,146
299,40,14,155
300,40,14,89
301,4,14,105
302,8,14,88
303,48,14,151
304,18,14,95
305,24,14,104
306,44,14,168
307,38,14,87
308,50,14,150
309,46,14,152
310,20,14,144
311,22,14,143
312,28,14,165
313,34,14,89
314,26,14,99
315,36,14,91
316,16,14,101
317,12,14,169
318,30,14,156
319,32,14,170
320,22,15,87
321,6,15,146
322,20,15,89
323,2,15,92
324,24,15,155
325,26,15,91
326,28,15,95
327,34,15,96
328,14,15,152
329,44,15,171
330,4,15,105
331,16,15,151
332,36,15,99
333,8,15,88
334,12,15,150
335,38,15,172
336,32,15,104
337,30,15,144
338,18,15,173
339,46,15,174
340,30,16,175
341,42,16,176
342,6,16,177
343,22,16,178
344,26,16,179
345,38,16,180
346,44,16,181
347,24,16,182
348,10,16,183
349,32,16,184
350,32,16,185
351,40,16,186
352,46,16,187
353,20,16,188
354,8,16,189
355,28,16,184
356,18,16,190
357,16,16,191
358,2,16,192
359,4,16,193
360,12,16,194
361,50,16,195
362,98,17,196
363,59,17,197
364,18,17,198
365,1,17,199
366,33,17,200
367,77,17,201
368,37,17,202
369,54,17,203
370,22,17,204
371,5,17,205
372,4,17,206
373,29,17,207
374,14,17,208
375,7,17,209
376,65,17,210
377,81,17,211
378,26,17,212
379,16,17,213
380,2,17,214
381,8,17,215
382,31,17,216
383,48,17,217
384,34,17,218
385,27,17,219
386,36,17,220
387,73,17,221
388,28,17,222
389,67,17,223
390,93,17,224
391,21,17,225
392,12,17,226
393,55,17,227
394,9,17,228
395,4,18,226
396,2,18,184
397,14,18,189
398,8,18,229
399,28,18,230
400,10,18,179
401,34,18,231
402,18,18,232
403,12,18,182
404,20,18,183
405,24,18,188
406,30,18,233
407,38,18,234
408,44,18,235
409,42,18,236
410,40,18,237
411,6,18,175
412,16,18,177
413,36,18,178
414,22,18,194
415,26,18,190
416,32,18,238
417,8,19,226
418,10,19,184
419,12,19,175
420,2,19,189
421,44,19,239
422,22,19,190
423,4,19,177
424,28,19,240
425,20,19,188
426,24,19,241
427,34,19,181
428,34,19,176
429,38,19,242
430,6,19,243
431,42,19,229
432,16,19,180
433,16,19,186
434,26,19,244
435,14,19,194
436,32,19,245
437,18,19,186
438,40,19,246
439,15,20,226
440,17,20,175
441,9,20,229
442,6,20,247
443,5,20,248
444,16,20,184
445,8,20,249
446,14,20,250
447,4,20,251
448,21,20,252
449,26,20,243
450,1,20,253
451,19,20,176
452,27,20,245
453,31,20,188
454,3,20,254
455,33,20,186
456,34,20,255
457,32,20,180
458,10,20,182
459,23,20,256
460,11,20,179
461,29,20,190
462,30,20,257
463,12,20,238
464,25,20,258
465,28,20,236
466,7,20,259
467,24,20,189
468,20,20,181
469,35,20,260
470,2,20,261
471,101,21,226
472,102,21,184
473,117,21,176
474,103,21,175
475,108,21,177
476,119,21,262
477,121,21,263
478,125,21,193
479,124,21,264
480,113,21,265
481,128,21,266
482,135,21,267
483,107,21,189
484,123,21,268
485,120,21,236
486,126,21,269
487,110,21,270
488,130,21,271
489,116,21,260
490,136,21,272
491,118,21,273
492,114,21,261
493,109,21,258
494,127,21,274
495,105,21,275
496,112,21,230
497,122,21,276
498,129,21,277
499,104,21,246
500,115,21,255
501,2,22,226
502,4,22,184
503,6,22,278
504,32,22,229
505,10,22,189
506,12,22,258
507,28,22,257
508,26,22,188
509,16,22,279
510,16,22,280
511,34,22,178
512,36,22,238
513,30,22,281
514,22,22,251
515,24,22,231
516,14,22,282
517,8,22,177
518,20,22,280
519,18,22,255
520,12,23,226
521,26,23,283
522,16,23,278
523,10,23,184
524,22,23,275
525,8,23,185
526,14,23,175
527,48,23,279
528,40,23,284
529,62,23,194
530,50,23,260
531,30,23,247
532,36,23,182
533,2,23,189
534,38,23,179
535,32,23,285
536,46,23,255
537,6,23,177
538,42,23,229
539,24,23,286
540,4,23,258
541,28,23,254
542,18,23,176
543,34,23,287
544,70,23,231
545,58,23,288
546,60,23,180
547,54,23,190
548,68,23,252
549,56,23,236
550,64,23,261
551,52,23,188
552,20,23,289
553,44,23,290
554,66,23,245
555,10,24,291
556,14,24,292
557,4,24,293
558,16,24,294
559,8,24,295
560,30,24,296
561,28,24,297
562,28,24,298
