id,number,type,date,time,scheduled_laps,is_cancelled,point_system_id,round_id
2,1,QB,1950-05-11,,,f,1,1
1,2,R,1950-05-13,,,f,2,1
5,1,QB,1950-05-18,,,f,1,2
4,2,R,1950-05-21,,,f,2,2
8,1,QB,1950-05-28,,,f,1,3
7,2,R,1950-05-30,,,f,2,3
11,1,QB,1950-06-02,,,f,1,4
10,2,R,1950-06-04,,,f,2,4
14,1,QB,1950-06-16,,,f,1,5
13,2,R,1950-06-18,,,f,2,5
17,1,QB,1950-06-30,,,f,1,6
16,2,R,1950-07-02,,,f,2,6
20,1,QB,1950-09-01,,,f,1,7
19,2,R,1950-09-03,,,f,2,7
23,1,QB,1951-05-25,,,f,1,8
22,2,R,1951-05-27,,,f,2,8
26,1,QB,1951-05-28,,,f,1,9
25,2,R,1951-05-30,,,f,2,9
29,1,QB,1951-06-15,,,f,1,10
28,2,R,1951-06-17,,,f,2,10
32,1,QB,1951-06-29,,,f,1,11
31,2,R,1951-07-01,,,f,2,11
35,1,QB,1951-07-12,,,f,1,12
34,2,R,1951-07-14,,,f,2,12
38,1,QB,1951-07-27,,,f,1,13
37,2,R,1951-07-29,,,f,2,13
41,1,QB,1951-09-14,,,f,1,14
40,2,R,1951-09-16,,,f,2,14
44,1,QB,1951-10-26,,,f,1,15
43,2,R,1951-10-28,,,f,2,15
47,1,QB,1952-05-16,,,f,1,16
46,2,R,1952-05-18,,,f,2,16
50,1,QB,1952-05-28,,,f,1,17
49,2,R,1952-05-30,,,f,2,17
53,1,QB,1952-06-20,,,f,1,18
52,2,R,1952-06-22,,,f,2,18
56,1,QB,1952-07-04,,,f,1,19
55,2,R,1952-07-06,,,f,2,19
59,1,QB,1952-07-17,,,f,1,20
58,2,R,1952-07-19,,,f,2,20
62,1,QB,1952-08-01,,,f,1,21
61,2,R,1952-08-03,,,f,2,21
65,1,QB,1952-08-15,,,f,1,22
64,2,R,1952-08-17,,,f,2,22
68,1,QB,1952-09-05,,,f,1,23
67,2,R,1952-09-07,,,f,2,23
71,1,QB,1953-01-16,,,f,1,24
70,2,R,1953-01-18,,,f,2,24
74,1,QB,1953-05-28,,,f,1,25
73,2,R,1953-05-30,,,f,2,25
77,1,QB,1953-06-05,,,f,1,26
76,2,R,1953-06-07,,,f,2,26
80,1,QB,1953-06-19,,,f,1,27
79,2,R,1953-06-21,,,f,2,27
83,1,QB,1953-07-03,,,f,1,28
82,2,R,1953-07-05,,,f,2,28
86,1,QB,1953-07-16,,,f,1,29
85,2,R,1953-07-18,,,f,2,29
89,1,QB,1953-07-31,,,f,1,30
88,2,R,1953-08-02,,,f,2,30
92,1,QB,1953-08-21,,,f,1,31
91,2,R,1953-08-23,,,f,2,31
95,1,QB,1953-09-11,,,f,1,32
94,2,R,1953-09-13,,,f,2,32
98,1,QB,1954-01-15,,,f,1,33
97,2,R,1954-01-17,,,f,3,33
101,1,QB,1954-05-29,,,f,1,34
100,2,R,1954-05-31,,,f,3,34
104,1,QB,1954-06-18,,,f,1,35
103,2,R,1954-06-20,,,f,3,35
107,1,QB,1954-07-02,,,f,1,36
106,2,R,1954-07-04,,,f,3,36
110,1,QB,1954-07-15,,,f,1,37
109,2,R,1954-07-17,,,f,3,37
113,1,QB,1954-07-30,,,f,1,38
112,2,R,1954-08-01,,,f,3,38
116,1,QB,1954-08-20,,,f,1,39
115,2,R,1954-08-22,,,f,3,39
119,1,QB,1954-09-03,,,f,1,40
118,2,R,1954-09-05,,,f,3,40
122,1,QB,1954-10-22,,,f,1,41
121,2,R,1954-10-24,,,f,3,41
125,1,QB,1955-01-14,,,f,1,42
124,2,R,1955-01-16,,,f,4,42
128,1,QB,1955-05-19,,,f,1,43
127,2,R,1955-05-22,,,f,4,43
131,1,QB,1955-05-28,,,f,1,44
130,2,R,1955-05-30,,,f,4,44
134,1,QB,1955-06-03,,,f,1,45
133,2,R,1955-06-05,,,f,4,45
137,1,QB,1955-06-17,,,f,1,46
136,2,R,1955-06-19,,,f,4,46
140,1,QB,1955-07-14,,,f,1,47
139,2,R,1955-07-16,,,f,4,47
143,1,QB,1955-09-09,,,f,1,48
142,2,R,1955-09-11,,,f,4,48
146,1,QB,1956-01-20,,,f,1,49
145,2,R,1956-01-22,,,f,5,49
149,1,QB,1956-05-10,,,f,1,50
148,2,R,1956-05-13,,,f,5,50
152,1,QB,1956-05-28,,,f,1,51
151,2,R,1956-05-30,,,f,5,51
155,1,QB,1956-06-01,,,f,1,52
154,2,R,1956-06-03,,,f,5,52
158,1,QB,1956-06-29,,,f,1,53
157,2,R,1956-07-01,,,f,5,53
161,1,QB,1956-07-12,,,f,1,54
160,2,R,1956-07-14,,,f,5,54
