reference,year,number,name,date,time,circuit_id
1,2009,1,Australian Grand Prix,2009-03-29,06:00:00,1
2,2009,2,Malaysian Grand Prix,2009-04-05,09:00:00,2
3,2009,3,Chinese Grand Prix,2009-04-19,07:00:00,17
4,2009,4,Bahrain Grand Prix,2009-04-26,12:00:00,3
5,2009,5,Spanish Grand Prix,2009-05-10,12:00:00,4
6,2009,6,Monaco Grand Prix,2009-05-24,12:00:00,6
7,2009,7,Turkish Grand Prix,2009-06-07,12:00:00,5
8,2009,8,British Grand Prix,2009-06-21,12:00:00,9
9,2009,9,German Grand Prix,2009-07-12,12:00:00,20
10,2009,10,Hungarian Grand Prix,2009-07-26,12:00:00,11
11,2009,11,European Grand Prix,2009-08-23,12:00:00,12
12,2009,12,Belgian Grand Prix,2009-08-30,12:00:00,13
13,2009,13,Italian Grand Prix,2009-09-13,12:00:00,14
14,2009,14,Singapore Grand Prix,2009-09-27,12:00:00,15
15,2009,15,Japanese Grand Prix,2009-10-04,05:00:00,22
16,2009,16,Brazilian Grand Prix,2009-10-18,16:00:00,18
17,2009,17,Abu Dhabi Grand Prix,2009-11-01,11:00:00,24
18,2008,1,Australian Grand Prix,2008-03-16,04:30:00,1
19,2008,2,Malaysian Grand Prix,2008-03-23,07:00:00,2
20,2008,3,Bahrain Grand Prix,2008-04-06,11:30:00,3
21,2008,4,Spanish Grand Prix,2008-04-27,12:00:00,4
22,2008,5,Turkish Grand Prix,2008-05-11,12:00:00,5
23,2008,6,Monaco Grand Prix,2008-05-25,12:00:00,6
24,2008,7,Canadian Grand Prix,2008-06-08,17:00:00,7
25,2008,8,French Grand Prix,2008-06-22,12:00:00,8
26,2008,9,British Grand Prix,2008-07-06,12:00:00,9
27,2008,10,German Grand Prix,2008-07-20,12:00:00,10
28,2008,11,Hungarian Grand Prix,2008-08-03,12:00:00,11
29,2008,12,European Grand Prix,2008-08-24,12:00:00,12
30,2008,13,Belgian Grand Prix,2008-09-07,12:00:00,13
31,2008,14,Italian Grand Prix,2008-09-14,12:00:00,14
32,2008,15,Singapore Grand Prix,2008-09-28,12:00:00,15
33,2008,16,Japanese Grand Prix,2008-10-12,04:30:00,16
34,2008,17,Chinese Grand Prix,2008-10-19,07:00:00,17
35,2008,18,Brazilian Grand Prix,2008-11-02,17:00:00,18
36,2007,1,Australian Grand Prix,2007-03-18,03:00:00,1
37,2007,2,Malaysian Grand Prix,2007-04-08,07:00:00,2
38,2007,3,Bahrain Grand Prix,2007-04-15,11:30:00,3
39,2007,4,Spanish Grand Prix,2007-05-13,12:00:00,4
40,2007,5,Monaco Grand Prix,2007-05-27,12:00:00,6
41,2007,6,Canadian Grand Prix,2007-06-10,17:00:00,7
42,2007,7,United States Grand Prix,2007-06-17,17:00:00,19
43,2007,8,French Grand Prix,2007-07-01,12:00:00,8
44,2007,9,British Grand Prix,2007-07-08,12:00:00,9
45,2007,10,European Grand Prix,2007-07-22,12:00:00,20
46,2007,11,Hungarian Grand Prix,2007-08-05,12:00:00,11
47,2007,12,Turkish Grand Prix,2007-08-26,12:00:00,5
48,2007,13,Italian Grand Prix,2007-09-09,12:00:00,14
49,2007,14,Belgian Grand Prix,2007-09-16,12:00:00,13
50,2007,15,Japanese Grand Prix,2007-09-30,04:30:00,16
51,2007,16,Chinese Grand Prix,2007-10-07,06:00:00,17
52,2007,17,Brazilian Grand Prix,2007-10-21,16:00:00,18
53,2006,1,Bahrain Grand Prix,2006-03-12,14:30:00,3
54,2006,2,Malaysian Grand Prix,2006-03-19,15:00:00,2
55,2006,3,Australian Grand Prix,2006-04-02,14:00:00,1
56,2006,4,San Marino Grand Prix,2006-04-23,14:00:00,21
57,2006,5,European Grand Prix,2006-05-07,14:00:00,20
58,2006,6,Spanish Grand Prix,2006-05-14,14:00:00,4
59,2006,7,Monaco Grand Prix,2006-05-28,14:00:00,6
60,2006,8,British Grand Prix,2006-06-11,12:00:00,9
61,2006,9,Canadian Grand Prix,2006-06-25,13:00:00,7
62,2006,10,United States Grand Prix,2006-07-02,14:00:00,19
63,2006,11,French Grand Prix,2006-07-16,14:00:00,8
64,2006,12,German Grand Prix,2006-07-30,14:00:00,10
65,2006,13,Hungarian Grand Prix,2006-08-06,14:00:00,11
66,2006,14,Turkish Grand Prix,2006-08-27,15:00:00,5
67,2006,15,Italian Grand Prix,2006-09-10,14:00:00,14
68,2006,16,Chinese Grand Prix,2006-10-01,14:00:00,17
69,2006,17,Japanese Grand Prix,2006-10-08,14:00:00,22
70,2006,18,Brazilian Grand Prix,2006-10-22,14:00:00,18
