id,number,duration,local_timestamp,lap_id,session_entry_id
1,2,00:00:24.036,17:59:17,275638,27696
2,1,00:00:22.603,17:25:17,275672,27696
3,1,00:00:23.227,17:28:24,275742,27700
4,2,00:00:23.199,17:59:29,275746,27700
5,1,00:00:24.535,17:28:39,275769,27704
6,2,00:00:25.683,17:59:47,275789,27704
7,1,00:00:23.251,17:22:34,275826,27708
8,2,00:00:24.733,17:46:04,275841,27708
9,3,00:00:24.181,18:09:08,275856,27708
10,1,00:00:23.426,17:20:48,275886,27712
11,2,00:00:22.52,17:44:29,275901,27712
12,3,00:00:26.23,18:07:37,275916,27712
13,1,00:00:16.867,17:30:24,275953,27716
14,2,00:00:23.303,17:33:53,275955,27716
15,3,00:00:22.681,18:01:49,275973,27716
16,1,00:00:23.842,17:24:10,276010,27720
17,2,00:00:24.5,17:52:28,276028,27720
18,3,00:00:24.095,18:18:54,276045,27720
19,1,00:00:25.342,17:27:34,276073,27724
20,2,00:00:23.1,17:49:47,276087,27724
21,1,00:00:25.978,17:29:08,276134,27728
22,2,00:00:23.871,18:02:15,276155,27728
23,1,00:00:24.863,17:26:03,276191,27731
24,2,00:00:24.332,18:00:48,276213,27731
25,1,00:00:26.898,17:05:23,276237,27734
26,2,00:00:24.463,17:31:06,276253,27734
27,3,00:00:26.348,17:59:45,276271,27734
28,1,00:00:22.994,17:27:41,276310,27737
29,2,00:00:25.098,17:51:32,276325,27737
30,1,00:00:24.899,17:29:49,276369,27739
31,2,00:00:24.848,18:03:55,276390,27739
32,1,00:00:25.259,17:26:50,276424,27741
33,2,00:00:26.446,18:06:53,276448,27741
34,1,00:00:23.792,17:33:02,276483,27743
35,1,00:00:23.643,17:24:29,276528,27745
36,2,00:00:37.856,17:40:45,276538,27745
37,3,00:00:16.892,17:49:07,276543,27745
38,4,00:00:26.309,18:08:03,276555,27745
39,1,00:00:23.716,17:29:00,276580,27747
40,1,00:00:24.865,17:31:11,276606,27751
41,1,00:00:25.021,17:05:52,276610,27753
42,2,00:00:23.988,17:32:08,276626,27753
43,1,00:00:24.064,17:29:06,276657,27759
44,2,00:00:24.192,17:54:21,276673,27759
