id,position,is_classified,status,detail,points,is_eligible_for_points,grid,time,fastest_lap_rank,laps_completed,round_entry_id,session_id
1,1,t,0,Finished,9,t,1,02:13:23.6,,70,1,1
2,2,t,0,Finished,6,t,2,02:13:26.2,,70,2,1
3,3,t,0,Finished,4,t,4,02:14:15.6,,70,3,1
4,4,t,1,+2 Laps,3,t,6,,,68,4,1
5,5,t,1,+2 Laps,2,t,9,,,68,5,1
6,6,t,1,+3 Laps,0,t,13,,,67,6,1
7,7,t,1,+3 Laps,0,t,15,,,67,7,1
8,8,t,1,+5 Laps,0,t,14,,,65,8,1
9,9,t,1,+6 Laps,0,t,16,,,64,9,1
10,10,t,1,+6 Laps,0,t,20,,,64,10,1
11,10,t,1,+6 Laps,0,t,20,,,64,11,1
12,11,t,1,+6 Laps,0,t,21,,,64,12,1
13,12,f,11,Oil leak,0,t,3,,,62,13,1
14,13,f,1,Not classified,0,t,19,,,57,14,1
15,14,f,11,Out of fuel,0,t,5,,,49,15,1
16,15,f,11,Engine,0,t,18,,,44,16,1
17,16,f,11,Transmission,0,t,17,,,43,17,1
18,17,f,11,Engine,0,t,8,,,36,18,1
19,18,f,11,Clutch,0,t,11,,,26,19,1
20,19,f,11,Oil pressure,0,t,7,,,8,20,1
21,20,f,11,Gearbox,0,t,10,,,5,21,1
22,20,f,11,Gearbox,0,t,10,,,5,22,1
23,21,f,11,Supercharger,0,t,12,,,2,23,1
24,1,t,0,Finished,9,t,1,03:13:18.7,,100,24,4
25,2,t,1,+1 Lap,6,t,7,,,99,25,4
26,3,t,1,+2 Laps,4,t,8,,,98,26,4
27,4,t,1,+3 Laps,3,t,9,,,97,27,4
28,5,t,1,+5 Laps,2,t,15,,,95,28,4
29,6,t,1,+6 Laps,0,t,16,,,94,29,4
30,7,t,1,+6 Laps,0,t,19,,,94,30,4
31,8,f,11,Axle,0,t,6,,,63,31,4
32,9,f,11,Oil leak,0,t,4,,,38,32,4
33,10,f,10,Accident,0,t,3,,,1,33,4
34,11,f,10,Accident,0,t,2,,,0,34,4
35,12,f,10,Accident,0,t,5,,,0,35,4
36,13,f,10,Accident,0,t,10,,,0,36,4
37,14,f,10,Accident,0,t,11,,,0,37,4
38,15,f,10,Accident,0,t,12,,,0,38,4
39,16,f,10,Accident,0,t,13,,,0,39,4
40,17,f,10,Accident,0,t,14,,,0,40,4
41,18,f,10,Accident,0,t,17,,,0,41,4
42,19,f,10,Collision,0,t,20,,,0,42,4
43,20,f,30,Engine,0,t,21,,,0,43,4
44,21,f,30,Accident,0,t,18,,,0,44,4
45,1,t,0,Finished,9,t,5,02:46:55.97,,138,45,7
46,2,t,1,+1 Lap,6,t,10,,,137,46,7
47,3,t,1,+1 Lap,4,t,3,,,137,47,7
48,4,t,1,+1 Lap,3,t,12,,,137,48,7
49,5,t,1,+2 Laps,1,t,9,,,136,49,7
50,5,t,1,+2 Laps,1,t,9,,,136,50,7
51,6,t,1,+2 Laps,0,t,23,,,136,51,7
52,7,t,1,+3 Laps,0,t,1,,,135,52,7
53,8,t,1,+3 Laps,0,t,4,,,135,53,7
54,9,t,1,+3 Laps,0,t,19,,,135,54,7
55,10,t,1,+3 Laps,0,t,11,,,135,55,7
56,11,t,1,+5 Laps,0,t,16,,,133,56,7
57,12,t,1,+5 Laps,0,t,13,,,133,57,7
58,13,t,1,+6 Laps,0,t,26,,,132,58,7
59,14,t,10,Spun off,0,t,6,,,131,59,7
60,15,t,1,+8 Laps,0,t,24,,,130,60,7
61,16,t,1,+10 Laps,0,t,31,,,128,61,7
62,17,t,1,+10 Laps,0,t,27,,,128,62,7
63,18,t,1,+10 Laps,0,t,33,,,128,63,7
64,19,t,1,+11 Laps,0,t,20,,,127,64,7
65,20,t,1,+12 Laps,0,t,14,,,126,65,7
66,21,t,1,+13 Laps,0,t,15,,,125,66,7
67,22,t,1,+15 Laps,0,t,29,,,123,67,7
68,23,t,10,Spun off,0,t,30,,,123,68,7
69,24,t,1,+16 Laps,0,t,28,,,122,69,7
70,25,f,11,Oil line,0,t,21,,,112,70,7
71,26,f,11,Transmission,0,t,22,,,111,71,7
72,27,f,11,Oil pressure,0,t,17,,,108,72,7
73,27,f,11,Oil pressure,0,t,17,,,108,73,7
74,28,f,11,Oil leak,0,t,2,,,64,74,7
75,29,f,11,Supercharger,0,t,32,,,52,75,7
76,30,f,11,Oil pressure,0,t,25,,,42,76,7
77,31,f,11,Wheel bearing,0,t,8,,,30,77,7
78,32,f,11,Stalled,0,t,18,,,25,78,7
79,33,f,11,Oil leak,0,t,7,,,10,79,7
80,1,t,0,Finished,9,t,2,02:02:53.7,,42,80,10
81,2,t,0,Finished,6,t,3,02:02:54.1,,42,81,10
82,3,t,1,+1 Lap,4,t,10,,,41,82,10
83,4,t,1,+2 Laps,3,t,8,,,40,83,10
84,5,t,1,+2 Laps,2,t,12,,,40,84,10
85,6,t,1,+2 Laps,0,t,11,,,40,85,10
86,7,t,1,+3 Laps,0,t,15,,,39,86,10
87,8,t,1,+3 Laps,0,t,18,,,39,87,10
88,9,t,1,+3 Laps,0,t,16,,,39,88,10
89,10,t,1,+4 Laps,0,t,14,,,38,89,10
90,11,t,1,+7 Laps,0,t,17,,,35,90,10
91,12,f,11,Engine,0,t,1,,,32,91,10
92,13,f,11,Gearbox,0,t,6,,,25,92,10
93,14,f,10,Accident,0,t,9,,,19,93,10
94,15,f,11,Suspension,0,t,13,,,19,94,10
95,16,f,11,Engine,0,t,4,,,9,95,10
96,17,f,11,Oil pump,0,t,5,,,4,96,10
97,18,f,10,Accident,0,t,7,,,0,97,10
98,1,t,0,Finished,8,t,2,02:47:26,,35,98,13
99,2,t,0,Finished,6,t,3,02:47:40,,35,99,13
100,3,t,0,Finished,4,t,8,02:49:45,,35,100,13
101,4,t,0,Finished,4,t,1,02:51:31,,35,101,13
102,5,t,1,+1 Lap,2,t,7,,,34,102,13
103,6,t,1,+2 Laps,0,t,4,,,33,103,13
104,7,t,1,+2 Laps,0,t,10,,,33,104,13
105,8,t,1,+3 Laps,0,t,14,,,22,105,13
106,9,t,1,+5 Laps,0,t,12,,,30,106,13
107,10,t,1,+6 Laps,0,t,11,,,29,107,13
108,11,f,11,Oil pipe,0,t,13,,,22,108,13
109,12,f,11,Oil pressure,0,t,5,,,20,109,13
110,13,f,11,Overheating,0,t,6,,,15,110,13
111,14,f,11,Oil pipe,0,t,9,,,2,111,13
112,1,t,0,Finished,9,t,1,02:57:52.8,,64,112,16
113,2,t,0,Finished,6,t,3,02:58:18.5,,64,113,16
114,3,t,1,+3 Laps,4,t,18,,,61,114,16
115,4,t,1,+3 Laps,3,t,12,,,61,115,16
116,5,t,1,+5 Laps,1,t,4,,,59,116,16
117,5,t,1,+5 Laps,1,t,4,,,59,117,16
118,6,t,1,+8 Laps,0,t,15,,,56,118,16
119,6,t,1,+8 Laps,0,t,15,,,56,119,16
120,7,t,11,Fuel pump,0,t,2,,,55,120,16
121,8,t,1,+12 Laps,0,t,5,,,52,121,16
122,9,f,11,Engine,0,t,9,,,36,122,16
123,10,f,11,Engine,0,t,10,,,14,123,16
124,11,f,11,Overheating,0,t,14,,,11,124,16
125,12,f,11,Overheating,0,t,6,,,10,125,16
126,13,f,11,Engine,0,t,11,,,9,126,16
127,14,f,11,Engine,0,t,7,,,6,127,16
128,15,f,11,Engine,0,t,13,,,6,128,16
129,16,f,11,Engine,0,t,17,,,5,129,16
130,17,f,11,Overheating,0,t,16,,,4,130,16
131,18,f,11,Engine,0,t,8,,,3,131,16
132,1,t,0,Finished,8,t,3,02:51:17.4,,80,132,19
133,2,t,0,Finished,3,t,6,02:52:36,,80,133,19
134,2,t,0,Finished,3,t,6,,,80,134,19
135,3,t,0,Finished,4,t,5,02:52:53,,80,135,19
136,4,t,1,+5 Laps,3,t,13,,,75,136,19
137,5,t,1,+5 Laps,2,t,16,,,75,137,19
138,6,t,1,+8 Laps,0,t,17,,,72,138,19
139,7,t,1,+8 Laps,0,t,18,,,72,139,19
140,8,f,11,Gearbox,0,t,24,,,56,140,19
141,9,f,11,Radiator,0,t,21,,,51,141,19
142,10,f,11,Gearbox,0,t,8,,,48,142,19
143,11,f,11,Oil pipe,0,t,11,,,42,143,19
144,12,f,11,Retired,0,t,9,,,39,144,19
145,13,f,11,Engine,0,t,7,,,34,145,19
146,13,f,11,Engine,0,t,7,,,34,146,19
147,14,f,11,Gearbox,0,t,20,,,29,147,19
148,15,f,11,Gearbox,1,t,1,,,23,148,19
149,16,f,11,Overheating,0,t,22,,,22,149,19
150,17,f,11,Engine,0,t,2,,,21,150,19
