id,reference,name,locality,country,altitude,wikipedia,country_code,latitude,longitude
6,reims,Reims-Gueux,Reims,France,88,https://en.wikipedia.org/wiki/Reims-Gueux,FRA,49.2542,3.93083
10,essarts,Rouen-Les-Essarts,Rouen,France,81,https://en.wikipedia.org/wiki/Rouen-Les-Essarts,FRA,49.3306,1.00458
31,tremblant,Circuit Mont-Tremblant,Quebec,Canada,214,https://en.wikipedia.org/wiki/Circuit_Mont-Tremblant,CAN,46.1877,-74.6099
61,bahrain,Bahrain International Circuit,Sakhir,Bahrain,7,https://en.wikipedia.org/wiki/Bahrain_International_Circuit,BHR,26.0325,50.5106
7,monza,Autodromo Nazionale di Monza,Monza,Italy,162,https://en.wikipedia.org/wiki/Monza_Circuit,ITA,45.6156,9.28111
39,anderstorp,Scandinavian Raceway,Anderstorp,Sweden,153,https://en.wikipedia.org/wiki/Anderstorp_Raceway,SWE,57.2653,13.6042
36,nivelles,Nivelles-Baulers,Brussels,Belgium,139,https://en.wikipedia.org/wiki/Nivelles-Baulers,BEL,50.6211,4.32694
34,red_bull_ring,Red Bull Ring,Spielberg,Austria,678,https://en.wikipedia.org/wiki/Red_Bull_Ring,AUT,47.2197,14.7647
29,mosport,Mosport International Raceway,Ontario,Canada,332,https://en.wikipedia.org/wiki/Canadian_Tire_Motorsport_Park,CAN,44.0481,-78.6756
8,nurburgring,Nürburgring,Nürburg,Germany,578,https://en.wikipedia.org/wiki/N%C3%BCrburgring,DEU,50.3356,6.9475
24,brands_hatch,Brands Hatch,Kent,UK,145,https://en.wikipedia.org/wiki/Brands_Hatch,GBR,51.3569,0.263056
32,montjuic,Montjuïc,Barcelona,Spain,79,https://en.wikipedia.org/wiki/Montju%C3%AFc_circuit,ESP,41.3664,2.15167
66,yas_marina,Yas Marina Circuit,Abu Dhabi,UAE,3,https://en.wikipedia.org/wiki/Yas_Marina_Circuit,ARE,24.4672,54.6031
62,shanghai,Shanghai International Circuit,Shanghai,China,5,https://en.wikipedia.org/wiki/Shanghai_International_Circuit,CHN,31.3389,121.22
