id,year,round_number,session_number,position,points,win_count,highest_finish,is_eligible,adjustment_type,driver_id,round_id,season_id,session_id
1,1950,1,2,1,9,1,1,t,0,1,1,,1
2,1950,1,2,2,6,0,2,t,0,2,1,,1
3,1950,1,2,3,4,0,3,t,0,3,1,,1
4,1950,1,2,4,3,0,4,t,0,4,1,,1
5,1950,1,2,5,2,0,5,t,0,5,1,,1
6,1950,1,2,,0,0,6,f,0,6,1,,1
7,1950,1,2,,0,0,7,f,0,7,1,,1
8,1950,1,2,,0,0,8,f,0,8,1,,1
9,1950,1,2,,0,0,9,f,0,9,1,,1
10,1950,1,2,,0,0,10,f,0,10,1,,1
11,1950,1,2,,0,0,10,f,0,11,1,,1
12,1950,1,2,,0,0,11,f,0,12,1,,1
13,1950,1,2,,0,0,,f,0,13,1,,1
14,1950,1,2,,0,0,,f,0,14,1,,1
15,1950,1,2,,0,0,,f,0,15,1,,1
16,1950,1,2,,0,0,,f,0,16,1,,1
17,1950,1,2,,0,0,,f,0,17,1,,1
18,1950,1,2,,0,0,,f,0,18,1,,1
19,1950,1,2,,0,0,,f,0,19,1,,1
20,1950,1,2,,0,0,,f,0,20,1,,1
21,1950,1,2,,0,0,,f,0,21,1,,1
22,1950,1,2,,0,0,,f,0,22,1,,1
23,1950,1,2,,0,0,,f,0,23,1,,1
24,1950,2,2,1,9,1,1,t,0,1,2,,4
25,1950,2,2,2,9,1,1,t,0,13,2,,4
26,1950,2,2,3,6,0,2,t,0,2,2,,4
27,1950,2,2,4,6,0,2,t,0,24,2,,4
28,1950,2,2,5,4,0,3,t,0,19,2,,4
29,1950,2,2,6,4,0,3,t,0,3,2,,4
30,1950,2,2,7,3,0,4,t,0,4,2,,4
31,1950,2,2,8,3,0,4,t,0,25,2,,4
32,1950,2,2,9,2,0,5,t,0,5,2,,4
33,1950,2,2,10,2,0,5,t,0,15,2,,4
34,1950,2,2,,0,0,6,f,0,6,2,,4
35,1950,2,2,,0,0,7,f,0,12,2,,4
36,1950,2,2,,0,0,7,f,0,7,2,,4
37,1950,2,2,,0,0,8,f,0,8,2,,4
38,1950,2,2,,0,0,9,f,0,9,2,,4
39,1950,2,2,,0,0,10,f,0,10,2,,4
40,1950,2,2,,0,0,10,f,0,11,2,,4
41,1950,2,2,,0,0,,f,0,26,2,,4
42,1950,2,2,,0,0,,f,0,27,2,,4
43,1950,2,2,,0,0,,f,0,14,2,,4
44,1950,2,2,,0,0,,f,0,28,2,,4
45,1950,2,2,,0,0,,f,0,18,2,,4
46,1950,2,2,,0,0,,f,0,16,2,,4
47,1950,2,2,,0,0,,f,0,17,2,,4
48,1950,2,2,,0,0,,f,0,29,2,,4
49,1950,2,2,,0,0,,f,0,30,2,,4
50,1950,2,2,,0,0,,f,0,20,2,,4
51,1950,2,2,,0,0,,f,0,31,2,,4
52,1950,2,2,,0,0,,f,0,21,2,,4
53,1950,2,2,,0,0,,f,0,22,2,,4
54,1950,2,2,,0,0,,f,0,32,2,,4
55,1950,2,2,,0,0,,f,0,23,2,,4
56,1950,2,2,,0,0,,f,0,33,2,,4
57,1950,3,2,1,9,1,1,t,0,1,3,,7
58,1950,3,2,2,9,1,1,t,0,13,3,,7
59,1950,3,2,3,9,1,1,t,0,34,3,,7
60,1950,3,2,4,6,0,2,t,0,2,3,,7
61,1950,3,2,5,6,0,2,t,0,24,3,,7
62,1950,3,2,6,6,0,2,t,0,35,3,,7
63,1950,3,2,7,4,0,3,t,0,19,3,,7
64,1950,3,2,8,4,0,3,t,0,3,3,,7
65,1950,3,2,9,4,0,3,t,0,36,3,,7
66,1950,3,2,10,3,0,4,t,0,4,3,,7
67,1950,3,2,11,3,0,4,t,0,25,3,,7
68,1950,3,2,12,3,0,4,t,0,37,3,,7
69,1950,3,2,13,2,0,5,t,0,5,3,,7
70,1950,3,2,14,2,0,5,t,0,15,3,,7
71,1950,3,2,15,1,0,5,t,0,38,3,,7
72,1950,3,2,16,1,0,5,t,0,39,3,,7
73,1950,3,2,,0,0,6,f,0,6,3,,7
74,1950,3,2,,0,0,6,f,0,40,3,,7
75,1950,3,2,,0,0,7,f,0,12,3,,7
76,1950,3,2,,0,0,7,f,0,7,3,,7
77,1950,3,2,,0,0,7,f,0,41,3,,7
78,1950,3,2,,0,0,8,f,0,8,3,,7
79,1950,3,2,,0,0,8,f,0,42,3,,7
80,1950,3,2,,0,0,9,f,0,9,3,,7
81,1950,3,2,,0,0,9,f,0,43,3,,7
82,1950,3,2,,0,0,10,f,0,10,3,,7
83,1950,3,2,,0,0,10,f,0,11,3,,7
84,1950,3,2,,0,0,10,f,0,44,3,,7
