id,number,name,date,race_number,wikipedia,is_cancelled,circuit_id,season_id
1,1,British Grand Prix,1950-05-13,1,https://en.wikipedia.org/wiki/1950_British_Grand_Prix,f,1,1
2,2,Monaco Grand Prix,1950-05-21,2,https://en.wikipedia.org/wiki/1950_Monaco_Grand_Prix,f,2,1
3,3,Indianapolis 500,1950-05-30,3,https://en.wikipedia.org/wiki/1950_Indianapolis_500,f,3,1
4,4,Swiss Grand Prix,1950-06-04,4,https://en.wikipedia.org/wiki/1950_Swiss_Grand_Prix,f,4,1
5,5,Belgian Grand Prix,1950-06-18,5,https://en.wikipedia.org/wiki/1950_Belgian_Grand_Prix,f,5,1
6,6,French Grand Prix,1950-07-02,6,https://en.wikipedia.org/wiki/1950_French_Grand_Prix,f,6,1
7,7,Italian Grand Prix,1950-09-03,7,https://en.wikipedia.org/wiki/1950_Italian_Grand_Prix,f,7,1
8,1,Swiss Grand Prix,1951-05-27,8,https://en.wikipedia.org/wiki/1951_Swiss_Grand_Prix,f,4,2
9,2,Indianapolis 500,1951-05-30,9,https://en.wikipedia.org/wiki/1951_Indianapolis_500,f,3,2
10,3,Belgian Grand Prix,1951-06-17,10,https://en.wikipedia.org/wiki/1951_Belgian_Grand_Prix,f,5,2
11,4,French Grand Prix,1951-07-01,11,https://en.wikipedia.org/wiki/1951_French_Grand_Prix,f,6,2
12,5,British Grand Prix,1951-07-14,12,https://en.wikipedia.org/wiki/1951_British_Grand_Prix,f,1,2
13,6,German Grand Prix,1951-07-29,13,https://en.wikipedia.org/wiki/1951_German_Grand_Prix,f,8,2
14,7,Italian Grand Prix,1951-09-16,14,https://en.wikipedia.org/wiki/1951_Italian_Grand_Prix,f,7,2
15,8,Spanish Grand Prix,1951-10-28,15,https://en.wikipedia.org/wiki/1951_Spanish_Grand_Prix,f,9,2
16,1,Swiss Grand Prix,1952-05-18,16,https://en.wikipedia.org/wiki/1952_Swiss_Grand_Prix,f,4,3
17,2,Indianapolis 500,1952-05-30,17,https://en.wikipedia.org/wiki/1952_Indianapolis_500,f,3,3
18,3,Belgian Grand Prix,1952-06-22,18,https://en.wikipedia.org/wiki/1952_Belgian_Grand_Prix,f,5,3
19,4,French Grand Prix,1952-07-06,19,https://en.wikipedia.org/wiki/1952_French_Grand_Prix,f,10,3
20,5,British Grand Prix,1952-07-19,20,https://en.wikipedia.org/wiki/1952_British_Grand_Prix,f,1,3
21,6,German Grand Prix,1952-08-03,21,https://en.wikipedia.org/wiki/1952_German_Grand_Prix,f,8,3
22,7,Dutch Grand Prix,1952-08-17,22,https://en.wikipedia.org/wiki/1952_Dutch_Grand_Prix,f,11,3
23,8,Italian Grand Prix,1952-09-07,23,https://en.wikipedia.org/wiki/1952_Italian_Grand_Prix,f,7,3
24,1,Argentine Grand Prix,1953-01-18,24,https://en.wikipedia.org/wiki/1953_Argentine_Grand_Prix,f,12,4
25,2,Indianapolis 500,1953-05-30,25,https://en.wikipedia.org/wiki/1953_Indianapolis_500,f,3,4
26,3,Dutch Grand Prix,1953-06-07,26,https://en.wikipedia.org/wiki/1953_Dutch_Grand_Prix,f,11,4
27,4,Belgian Grand Prix,1953-06-21,27,https://en.wikipedia.org/wiki/1953_Belgian_Grand_Prix,f,5,4
28,5,French Grand Prix,1953-07-05,28,https://en.wikipedia.org/wiki/1953_French_Grand_Prix,f,6,4
29,6,British Grand Prix,1953-07-18,29,https://en.wikipedia.org/wiki/1953_British_Grand_Prix,f,1,4
30,7,German Grand Prix,1953-08-02,30,https://en.wikipedia.org/wiki/1953_German_Grand_Prix,f,8,4
31,8,Swiss Grand Prix,1953-08-23,31,https://en.wikipedia.org/wiki/1953_Swiss_Grand_Prix,f,4,4
32,9,Italian Grand Prix,1953-09-13,32,https://en.wikipedia.org/wiki/1953_Italian_Grand_Prix,f,7,4
33,1,Argentine Grand Prix,1954-01-17,33,https://en.wikipedia.org/wiki/1954_Argentine_Grand_Prix,f,12,5
34,2,Indianapolis 500,1954-05-31,34,https://en.wikipedia.org/wiki/1954_Indianapolis_500,f,3,5
35,3,Belgian Grand Prix,1954-06-20,35,https://en.wikipedia.org/wiki/1954_Belgian_Grand_Prix,f,5,5
36,4,French Grand Prix,1954-07-04,36,https://en.wikipedia.org/wiki/1954_French_Grand_Prix,f,6,5
37,5,British Grand Prix,1954-07-17,37,https://en.wikipedia.org/wiki/1954_British_Grand_Prix,f,1,5
38,6,German Grand Prix,1954-08-01,38,https://en.wikipedia.org/wiki/1954_German_Grand_Prix,f,8,5
39,7,Swiss Grand Prix,1954-08-22,39,https://en.wikipedia.org/wiki/1954_Swiss_Grand_Prix,f,4,5
40,8,Italian Grand Prix,1954-09-05,40,https://en.wikipedia.org/wiki/1954_Italian_Grand_Prix,f,7,5
41,9,Spanish Grand Prix,1954-10-24,41,https://en.wikipedia.org/wiki/1954_Spanish_Grand_Prix,f,9,5
42,1,Argentine Grand Prix,1955-01-16,42,https://en.wikipedia.org/wiki/1955_Argentine_Grand_Prix,f,12,6
43,2,Monaco Grand Prix,1955-05-22,43,https://en.wikipedia.org/wiki/1955_Monaco_Grand_Prix,f,2,6
44,3,Indianapolis 500,1955-05-30,44,https://en.wikipedia.org/wiki/1955_Indianapolis_500,f,3,6
45,4,Belgian Grand Prix,1955-06-05,45,https://en.wikipedia.org/wiki/1955_Belgian_Grand_Prix,f,5,6
46,5,Dutch Grand Prix,1955-06-19,46,https://en.wikipedia.org/wiki/1955_Dutch_Grand_Prix,f,11,6
47,6,British Grand Prix,1955-07-16,47,https://en.wikipedia.org/wiki/1955_British_Grand_Prix,f,13,6
48,7,Italian Grand Prix,1955-09-11,48,https://en.wikipedia.org/wiki/1955_Italian_Grand_Prix,f,7,6
49,1,Argentine Grand Prix,1956-01-22,49,https://en.wikipedia.org/wiki/1956_Argentine_Grand_Prix,f,12,7
50,2,Monaco Grand Prix,1956-05-13,50,https://en.wikipedia.org/wiki/1956_Monaco_Grand_Prix,f,2,7
51,3,Indianapolis 500,1956-05-30,51,https://en.wikipedia.org/wiki/1956_Indianapolis_500,f,3,7
52,4,Belgian Grand Prix,1956-06-03,52,https://en.wikipedia.org/wiki/1956_Belgian_Grand_Prix,f,5,7
53,5,French Grand Prix,1956-07-01,53,https://en.wikipedia.org/wiki/1956_French_Grand_Prix,f,6,7
54,6,British Grand Prix,1956-07-14,54,https://en.wikipedia.org/wiki/1956_British_Grand_Prix,f,1,7
55,7,German Grand Prix,1956-08-05,55,https://en.wikipedia.org/wiki/1956_German_Grand_Prix,f,8,7
56,8,Italian Grand Prix,1956-09-02,56,https://en.wikipedia.org/wiki/1956_Italian_Grand_Prix,f,7,7
57,1,Argentine Grand Prix,1957-01-13,57,https://en.wikipedia.org/wiki/1957_Argentine_Grand_Prix,f,12,8
58,2,Monaco Grand Prix,1957-05-19,58,https://en.wikipedia.org/wiki/1957_Monaco_Grand_Prix,f,2,8
59,3,Indianapolis 500,1957-05-30,59,https://en.wikipedia.org/wiki/1957_Indianapolis_500,f,3,8
60,4,French Grand Prix,1957-07-07,60,https://en.wikipedia.org/wiki/1957_French_Grand_Prix,f,10,8
61,5,British Grand Prix,1957-07-20,61,https://en.wikipedia.org/wiki/1957_British_Grand_Prix,f,13,8
62,6,German Grand Prix,1957-08-04,62,https://en.wikipedia.org/wiki/1957_German_Grand_Prix,f,8,8
63,7,Pescara Grand Prix,1957-08-18,63,https://en.wikipedia.org/wiki/1957_Pescara_Grand_Prix,f,14,8
64,8,Italian Grand Prix,1957-09-08,64,https://en.wikipedia.org/wiki/1957_Italian_Grand_Prix,f,7,8
65,1,Argentine Grand Prix,1958-01-19,65,https://en.wikipedia.org/wiki/1958_Argentine_Grand_Prix,f,12,9
66,2,Monaco Grand Prix,1958-05-18,66,https://en.wikipedia.org/wiki/1958_Monaco_Grand_Prix,f,2,9
67,3,Dutch Grand Prix,1958-05-26,67,https://en.wikipedia.org/wiki/1958_Dutch_Grand_Prix,f,11,9
