id,year,wikipedia,championship_system_id
1,1950,https://en.wikipedia.org/wiki/1950_Formula_One_season,1
2,1951,https://en.wikipedia.org/wiki/1951_Formula_One_season,1
3,1952,https://en.wikipedia.org/wiki/1952_Formula_One_season,1
4,1953,https://en.wikipedia.org/wiki/1953_Formula_One_season,1
5,1954,https://en.wikipedia.org/wiki/1954_Formula_One_season,2
6,1955,https://en.wikipedia.org/wiki/1955_Formula_One_season,2
7,1956,https://en.wikipedia.org/wiki/1956_Formula_One_season,2
8,1957,https://en.wikipedia.org/wiki/1957_Formula_One_season,2
9,1958,https://en.wikipedia.org/wiki/1958_Formula_One_season,3
10,1959,https://en.wikipedia.org/wiki/1959_Formula_One_season,4
11,1960,https://en.wikipedia.org/wiki/1960_Formula_One_season,3
12,1961,https://en.wikipedia.org/wiki/1961_Formula_One_season,4
13,1962,https://en.wikipedia.org/wiki/1962_Formula_One_season,4
14,1963,https://en.wikipedia.org/wiki/1963_Formula_One_season,3
15,1964,https://en.wikipedia.org/wiki/1964_Formula_One_season,3
16,1965,https://en.wikipedia.org/wiki/1965_Formula_One_season,3
17,1966,https://en.wikipedia.org/wiki/1966_Formula_One_season,4
18,1967,https://en.wikipedia.org/wiki/1967_Formula_One_season,5
19,1968,https://en.wikipedia.org/wiki/1968_Formula_One_season,5
20,1969,https://en.wikipedia.org/wiki/1969_Formula_One_season,5
21,1970,https://en.wikipedia.org/wiki/1970_Formula_One_season,5
22,1971,https://en.wikipedia.org/wiki/1971_Formula_One_season,5
23,1972,https://en.wikipedia.org/wiki/1972_Formula_One_season,5
24,1973,https://en.wikipedia.org/wiki/1973_Formula_One_season,5
25,1974,https://en.wikipedia.org/wiki/1974_Formula_One_season,5
26,1975,https://en.wikipedia.org/wiki/1975_Formula_One_season,5
27,1976,https://en.wikipedia.org/wiki/1976_Formula_One_season,5
28,1977,https://en.wikipedia.org/wiki/1977_Formula_One_season,5
29,1978,https://en.wikipedia.org/wiki/1978_Formula_One_season,5
30,1979,https://en.wikipedia.org/wiki/1979_Formula_One_season,6
31,1980,https://en.wikipedia.org/wiki/1980_Formula_One_season,7
69,2018,https://en.wikipedia.org/wiki/2018_Formula_One_World_Championship,10
70,2019,https://en.wikipedia.org/wiki/2019_Formula_One_World_Championship,10
71,2020,https://en.wikipedia.org/wiki/2020_Formula_One_World_Championship,10
72,2021,https://en.wikipedia.org/wiki/2021_Formula_One_World_Championship,10
73,2022,https://en.wikipedia.org/wiki/2022_Formula_One_World_Championship,10
74,2023,https://en.wikipedia.org/wiki/2023_Formula_One_World_Championship,10
33,1982,https://en.wikipedia.org/wiki/1982_Formula_One_World_Championship,8
34,1983,https://en.wikipedia.org/wiki/1983_Formula_One_World_Championship,8
35,1984,https://en.wikipedia.org/wiki/1984_Formula_One_World_Championship,8
36,1985,https://en.wikipedia.org/wiki/1985_Formula_One_World_Championship,8
37,1986,https://en.wikipedia.org/wiki/1986_Formula_One_World_Championship,8
38,1987,https://en.wikipedia.org/wiki/1987_Formula_One_World_Championship,8
39,1988,https://en.wikipedia.org/wiki/1988_Formula_One_World_Championship,8
40,1989,https://en.wikipedia.org/wiki/1989_Formula_One_World_Championship,8
41,1990,https://en.wikipedia.org/wiki/1990_Formula_One_World_Championship,8
42,1991,https://en.wikipedia.org/wiki/1991_Formula_One_World_Championship,9
43,1992,https://en.wikipedia.org/wiki/1992_Formula_One_World_Championship,9
44,1993,https://en.wikipedia.org/wiki/1993_Formula_One_World_Championship,9
45,1994,https://en.wikipedia.org/wiki/1994_Formula_One_World_Championship,9
46,1995,https://en.wikipedia.org/wiki/1995_Formula_One_World_Championship,9
47,1996,https://en.wikipedia.org/wiki/1996_Formula_One_World_Championship,9
48,1997,https://en.wikipedia.org/wiki/1997_Formula_One_World_Championship,9
49,1998,https://en.wikipedia.org/wiki/1998_Formula_One_World_Championship,9
50,1999,https://en.wikipedia.org/wiki/1999_Formula_One_World_Championship,9
51,2000,https://en.wikipedia.org/wiki/2000_Formula_One_World_Championship,9
52,2001,https://en.wikipedia.org/wiki/2001_Formula_One_World_Championship,9
54,2003,https://en.wikipedia.org/wiki/2003_Formula_One_World_Championship,10
55,2004,https://en.wikipedia.org/wiki/2004_Formula_One_World_Championship,10
56,2005,https://en.wikipedia.org/wiki/2005_Formula_One_World_Championship,10
57,2006,https://en.wikipedia.org/wiki/2006_Formula_One_World_Championship,10
58,2007,https://en.wikipedia.org/wiki/2007_Formula_One_World_Championship,10
59,2008,https://en.wikipedia.org/wiki/2008_Formula_One_World_Championship,10
60,2009,https://en.wikipedia.org/wiki/2009_Formula_One_World_Championship,10
61,2010,https://en.wikipedia.org/wiki/2010_Formula_One_World_Championship,10
62,2011,https://en.wikipedia.org/wiki/2011_Formula_One_World_Championship,10
63,2012,https://en.wikipedia.org/wiki/2012_Formula_One_World_Championship,10
64,2013,https://en.wikipedia.org/wiki/2013_Formula_One_World_Championship,10
65,2014,https://en.wikipedia.org/wiki/2014_Formula_One_World_Championship,10
66,2015,https://en.wikipedia.org/wiki/2015_Formula_One_World_Championship,10
67,2016,https://en.wikipedia.org/wiki/2016_Formula_One_World_Championship,10
68,2017,https://en.wikipedia.org/wiki/2017_Formula_One_World_Championship,10
75,2024,https://en.wikipedia.org/wiki/2024_Formula_One_World_Championship,10
76,2025,https://en.wikipedia.org/wiki/2025_Formula_One_World_Championship,10
32,1981,https://en.wikipedia.org/wiki/1981_Formula_One_World_Championship,8
53,2002,https://en.wikipedia.org/wiki/2002_Formula_One_World_Championship,10
