id,reference,name,nationality,wikipedia,base_team_id,country_code
12,adams,Adams,American,http://en.wikipedia.org/wiki/Adams_(constructor),,USA
37,afm,AFM,German,http://en.wikipedia.org/wiki/Alex_von_Falkenhausen_Motorenbau,,DEU
168,ags,AGS,French,http://en.wikipedia.org/wiki/Automobiles_Gonfaronnaises_Sportives,,FRA
1,alfa,Alfa Romeo,Swiss,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,,CHE
209,alphatauri,AlphaTauri,Italian,http://en.wikipedia.org/wiki/Scuderia_AlphaTauri,,ITA
210,alpine,Alpine F1 Team,French,http://en.wikipedia.org/wiki/Alpine_F1_Team,,FRA
3,alta,Alta,British,http://en.wikipedia.org/wiki/Alta_auto_racing_team,,GBR
134,amon,Amon,New Zealander,http://en.wikipedia.org/wiki/Amon_(Formula_One_team),,NZL
154,apollon,Apollon,Swiss,http://en.wikipedia.org/wiki/Apollon_(Formula_One),,CHE
157,arrows,Arrows,British,http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International,,GBR
53,arzani-volpini,Arzani-Volpini,Italian,http://en.wikipedia.org/wiki/Arzani-Volpini,,ITA
64,aston_martin,Aston Martin,British,http://en.wikipedia.org/wiki/Aston_Martin_in_Formula_One,,GBR
89,ats,ATS,Italian,http://en.wikipedia.org/wiki/ATS_(wheels),,ITA
188,bar,BAR,British,http://en.wikipedia.org/wiki/British_American_Racing,,GBR
70,behra-porsche,Behra-Porsche,Italian,http://en.wikipedia.org/wiki/Behra-Porsche,,ITA
121,bellasi,Bellasi,Swiss,http://en.wikipedia.org/wiki/Bellasi,,CHE
167,benetton,Benetton,Italian,http://en.wikipedia.org/wiki/Benetton_Formula,,ITA
41,bmw,BMW,German,http://en.wikipedia.org/wiki/BMW,,DEU
192,bmw_sauber,BMW Sauber,German,http://en.wikipedia.org/wiki/BMW_Sauber,,DEU
149,boro,Boro,Dutch,http://en.wikipedia.org/wiki/Boro_(Formula_One),,NLD
83,brabham,Brabham,British,http://en.wikipedia.org/wiki/Brabham,,GBR
147,brabham-alfa_romeo,Brabham-Alfa Romeo,British,http://en.wikipedia.org/wiki/Brabham,,GBR
96,brabham-brm,Brabham-BRM,British,http://en.wikipedia.org/wiki/Brabham,,GBR
95,brabham-climax,Brabham-Climax,British,http://en.wikipedia.org/wiki/Brabham,,GBR
97,brabham-ford,Brabham-Ford,British,http://en.wikipedia.org/wiki/Brabham,,GBR
105,brabham-repco,Brabham-Repco,British,http://en.wikipedia.org/wiki/Brabham,,GBR
199,brawn,Brawn,British,http://en.wikipedia.org/wiki/Brawn_GP,,GBR
34,brm,BRM,British,http://en.wikipedia.org/wiki/BRM,,GBR
118,brm-ford,BRM-Ford,British,http://en.wikipedia.org/wiki/BRM,,GBR
31,bromme,Bromme,American,http://en.wikipedia.org/wiki/Bromme,,USA
91,brp,BRP,British,http://en.wikipedia.org/wiki/British_Racing_Partnership,,GBR
54,bugatti,Bugatti,French,http://en.wikipedia.org/wiki/Bugatti,,FRA
39,butterworth,Aston Butterworth,British,http://en.wikipedia.org/wiki/Aston_Butterworth,,GBR
203,caterham,Caterham,Malaysian,http://en.wikipedia.org/wiki/Caterham_F1,,MYS
42,cisitalia,Cisitalia,Italian,http://en.wikipedia.org/wiki/Cisitalia,,ITA
170,coloni,Coloni,Italian,http://en.wikipedia.org/wiki/Enzo_Coloni_Racing_Car_Systems,,ITA
40,connaught,Connaught,British,http://en.wikipedia.org/wiki/Connaught_Engineering,,GBR
129,connew,Connew,British,http://en.wikipedia.org/wiki/Connew,,GBR
7,cooper,Cooper,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,,GBR
88,cooper-alfa_romeo,Cooper-Alfa Romeo,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,,GBR
113,cooper-ats,Cooper-ATS,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,,GBR
67,cooper-borgward,Cooper-Borgward,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,,GBR
115,cooper-brm,Cooper-BRM,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,,GBR
72,cooper-castellotti,Cooper-Castellotti,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,,GBR
59,cooper-climax,Cooper-Climax,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,,GBR
109,cooper-ferrari,Cooper-Ferrari,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,,GBR
103,cooper-ford,Cooper-Ford,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,,GBR
60,cooper-maserati,Cooper-Maserati,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,,GBR
69,cooper-osca,Cooper-OSCA,British,http://en.wikipedia.org/wiki/Cooper_Car_Company,,GBR
171,dallara,Dallara,Italian,http://en.wikipedia.org/wiki/Dallara,,ITA
11,deidt,Deidt,American,http://en.wikipedia.org/wiki/Deidt,,USA
44,del_roy,Del Roy,American,http://en.wikipedia.org/wiki/Del_Roy,,USA
99,derrington,Derrington,British,http://en.wikipedia.org/wiki/Derrington-Francis,,GBR
80,de_tomaso-alfa_romeo,De Tomaso-Alfa Romeo,Italian,http://en.wikipedia.org/wiki/De_Tomaso,,ITA
92,de_tomaso-ferrari,De Tomaso-Ferrari,Italian,http://en.wikipedia.org/wiki/De_Tomaso,,ITA
75,de_tomaso-osca,De Tomaso-Osca,Italian,http://en.wikipedia.org/wiki/De_Tomaso,,ITA
56,dunn,Dunn,American,http://en.wikipedia.org/wiki/Dunn_Engineering,,USA
212,eagle,Eagle,American,http://en.wikipedia.org/wiki/Anglo_American_Racers,,USA
107,eagle-climax,Eagle-Climax,American,http://en.wikipedia.org/wiki/Anglo_American_Racers,,USA
110,eagle-weslake,Eagle-Weslake,American,http://en.wikipedia.org/wiki/Anglo_American_Racers,,USA
62,elder,Elder,American,http://en.wikipedia.org/wiki/Elder_(constructor),,USA
